,playerid,web_name,element_type,now_cost,team,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
127,179.0,Mudryk,3.0,62.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
128,180.0,N.Jackson,4.0,78.0,6.0,0.368,0.096,0.4639999999999999,0.6940000000000001,0.6155911502593543,2.3184758320984002,1.0757727860936577,0.4272202582799919
129,181.0,Nkunku,3.0,57.0,6.0,0.198,0.022,0.22000000000000003,0.5279999999999999,0.6155911502593543,2.3184758320984002,0.5100646830616481,0.3250321273369391
130,182.0,Palmer,3.0,113.0,6.0,0.312,0.372,0.6839999999999999,1.29,0.6155911502593543,2.3184758320984002,1.5858374691553054,0.7941125838345671
131,184.0,Renato Veiga,3.0,44.0,6.0,0.0,0.0,0.0,0.0,0.6155911502593543,2.3184758320984002,0.0,0.0
132,185.0,Sánchez,1.0,47.0,6.0,0.0,0.0,0.0,0.9800000000000001,0.6155911502593543,2.3184758320984002,0.0,0.6032793272541673
133,186.0,Sterling,3.0,67.0,1.0,0.074,0.01,0.084,0.10200000000000001,0.674219519816056,2.3572765524789334,0.1980112304082304,0.0687703910212377
134,188.0,Ugochukwu,3.0,44.0,17.0,0.02,0.018,0.038,2.118,0.6736158620447158,2.0777840961858667,0.07895579565506293,1.4267183958107081
135,190.0,Ahamada,3.0,45.0,7.0,0.0,0.0,0.0,0.0,0.6897420569824814,2.22726496573525,0.0,0.0
136,191.0,Andersen,2.0,42.0,9.0,0.0,0.016,0.016,1.222,0.7200909830687341,2.122161900346,0.033954590405536,0.8799511813099932
137,192.0,J.Ayew,3.0,52.0,11.0,0.10600000000000001,0.074,0.18,0.9119999999999999,0.6967725641072132,2.273216266158,0.40917892790844,0.6354565784657784
138,193.0,C.Doucouré,3.0,49.0,7.0,0.004,0.014000000000000002,0.018,0.426,0.6897420569824814,2.22726496573525,0.0400907693832345,0.29383011627453703
139,194.0,C.Richards,2.0,44.0,7.0,0.018,0.004,0.022,0.8320000000000001,0.6897420569824814,2.22726496573525,0.0489998292461755,0.5738653914094246
140,197.0,Ebiowei,3.0,45.0,7.0,0.0,0.0,0.0,0.0,0.6897420569824814,2.22726496573525,0.0,0.0
141,198.0,Edouard,4.0,51.0,11.0,0.0,0.0,0.0,0.0,0.6967725641072132,2.273216266158,0.0,0.0
142,199.0,Eze,3.0,67.0,7.0,0.23000000000000004,0.186,0.41600000000000004,1.056,0.6897420569824814,2.22726496573525,0.9265422257458641,0.7283676121735003
143,200.0,Guéhi,2.0,46.0,7.0,0.036,0.006,0.042,0.938,0.6897420569824814,2.22726496573525,0.0935451285608805,0.6469780494495675
144,201.0,Henderson,1.0,45.0,7.0,0.0,0.002,0.002,1.126,0.6897420569824814,2.22726496573525,0.0044545299314705,0.7766495561622739
145,203.0,Hughes,3.0,49.0,7.0,0.016,0.06999999999999999,0.086,0.694,0.6897420569824814,2.22726496573525,0.1915447870532315,0.47868098754584204
146,205.0,Kamada,3.0,51.0,7.0,0.024,0.02,0.044,0.25,0.6897420569824814,2.22726496573525,0.097999658492351,0.17243551424562034
147,206.0,Lerma,3.0,48.0,7.0,0.04,0.044,0.084,0.8959999999999999,0.6897420569824814,2.22726496573525,0.187090257121761,0.6180088830563033
148,207.0,Mateta,4.0,74.0,7.0,0.562,0.092,0.654,1.066,0.6897420569824814,2.22726496573525,1.4566312875908536,0.7352650327433252
149,208.0,M.França,3.0,44.0,7.0,0.0,0.0,0.0,0.0,0.6897420569824814,2.22726496573525,0.0,0.0
150,210.0,Mitchell,2.0,48.0,7.0,0.04,0.15,0.19,1.076,0.6897420569824814,2.22726496573525,0.4231803434896975,0.74216245331315
151,211.0,Muñoz,2.0,48.0,7.0,0.126,0.11599999999999999,0.242,1.126,0.6897420569824814,2.22726496573525,0.5389981217079305,0.7766495561622739
152,212.0,Ozoh,3.0,45.0,7.0,0.0,0.0,0.0,0.0,0.6897420569824814,2.22726496573525,0.0,0.0
153,213.0,Rak-Sakyi,3.0,45.0,7.0,0.0,0.0,0.0,0.0,0.6897420569824814,2.22726496573525,0.0,0.0
154,214.0,Schlupp,3.0,46.0,7.0,0.0,0.012,0.012,0.0,0.6897420569824814,2.22726496573525,0.026727179588823,0.0
155,216.0,Wharton,3.0,47.0,7.0,0.0,0.0,0.0,0.0,0.6897420569824814,2.22726496573525,0.0,0.0
156,217.0,A.Doucoure,3.0,51.0,8.0,0.06799999999999999,0.02,0.088,1.548,0.7477012663914506,2.254612534826,0.198405903064688,1.1574415603739656
157,218.0,Beto,4.0,49.0,8.0,0.008,0.0,0.008,0.098,0.7477012663914506,2.254612534826,0.018036900278608,0.07327472410636217
158,219.0,Branthwaite,2.0,48.0,8.0,0.05600000000000001,0.024,0.08,1.548,0.7477012663914506,2.254612534826,0.18036900278608,1.1574415603739656
159,220.0,Calvert-Lewin,4.0,54.0,8.0,0.346,0.02,0.366,1.1039999999999999,0.7477012663914506,2.254612534826,0.825188187746316,0.8254621980961614
160,222.0,Gana,3.0,48.0,8.0,0.018,0.046,0.064,1.45,0.7477012663914506,2.254612534826,0.144295202228864,1.0841668362676034
161,223.0,Garner,3.0,49.0,8.0,0.0,0.0,0.0,0.0,0.7477012663914506,2.254612534826,0.0,0.0
162,224.0,Harrison,3.0,52.0,8.0,0.016,0.10200000000000001,0.11800000000000002,0.744,0.7477012663914506,2.254612534826,0.26604427910946804,0.5562897421952393
163,226.0,Iroegbunam,3.0,43.0,8.0,0.0,0.0,0.0,0.0,0.7477012663914506,2.254612534826,0.0,0.0
164,229.0,Maupay,4.0,49.0,8.0,0.0,0.0,0.0,0.0,0.7477012663914506,2.254612534826,0.0,0.0
165,230.0,McNeil,3.0,51.0,8.0,0.0,0.0,0.0,0.0,0.7477012663914506,2.254612534826,0.0,0.0
166,231.0,Mykolenko,2.0,44.0,8.0,0.022,0.06,0.082,1.548,0.7477012663914506,2.254612534826,0.18487822785573202,1.1574415603739656
167,232.0,Ndiaye,4.0,54.0,8.0,0.192,0.028000000000000004,0.22000000000000003,1.454,0.7477012663914506,2.254612534826,0.4960147576617201,1.0871576413331692
168,233.0,Onana,3.0,48.0,2.0,0.01,0.006,0.016,0.942,0.6942320720647169,2.3024477963645,0.036839164741832,0.6539666118849633
169,235.0,Pickford,1.0,50.0,8.0,0.0,0.01,0.01,1.548,0.7477012663914506,2.254612534826,0.02254612534826,1.1574415603739656
170,236.0,Tarkowski,2.0,48.0,8.0,0.038,0.10600000000000001,0.14400000000000002,1.548,0.7477012663914506,2.254612534826,0.32466420501494403,1.1574415603739656
171,237.0,Y. Chermiti,4.0,49.0,8.0,0.0,0.0,0.0,0.0,0.7477012663914506,2.254612534826,0.0,0.0
172,239.0,Adama,3.0,47.0,9.0,0.06799999999999999,0.036,0.10400000000000001,0.26399999999999996,0.7200909830687341,2.122161900346,0.22070483763598403,0.19010401953014577
173,240.0,Andreas,3.0,50.0,9.0,0.041999999999999996,0.022,0.064,0.7979999999999999,0.7200909830687341,2.122161900346,0.135818361622144,0.5746326044888498
174,241.0,Bassey,2.0,45.0,9.0,0.07999999999999999,0.016,0.096,1.222,0.7200909830687341,2.122161900346,0.203727542433216,0.8799511813099932
175,243.0,Cairney,3.0,48.0,9.0,0.016,0.041999999999999996,0.057999999999999996,0.344,0.7200909830687341,2.122161900346,0.123085390220068,0.24771129817564452
176,244.0,Castagne,2.0,42.0,9.0,0.012,0.024,0.036,1.222,0.7200909830687341,2.122161900346,0.076397828412456,0.8799511813099932
177,246.0,Harris,3.0,45.0,9.0,0.0,0.0,0.0,0.0,0.7200909830687341,2.122161900346,0.0,0.0
178,247.0,Iwobi,3.0,59.0,9.0,0.11800000000000002,0.28800000000000003,0.40599999999999997,0.9019999999999999,0.7200909830687341,2.122161900346,0.8615977315404759,0.6495220667279982
179,248.0,Leno,1.0,50.0,9.0,0.0,0.0,0.0,1.222,0.7200909830687341,2.122161900346,0.0,0.8799511813099932
180,249.0,Lukić,3.0,48.0,9.0,0.128,0.05800000000000001,0.186,1.188,0.7200909830687341,2.122161900346,0.394722113464356,0.8554680878856561
181,251.0,Muniz,4.0,55.0,9.0,0.16799999999999998,0.002,0.16999999999999998,0.438,0.7200909830687341,2.122161900346,0.36076752305882,0.3153998505841055
182,252.0,Raúl,4.0,57.0,9.0,0.61,0.036,0.646,1.01,0.7200909830687341,2.122161900346,1.370916587623516,0.7272918928994215
183,254.0,Reed,3.0,47.0,9.0,0.0,0.0,0.0,0.0,0.7200909830687341,2.122161900346,0.0,0.0
184,255.0,Robinson,2.0,51.0,9.0,0.06999999999999999,0.13,0.2,1.222,0.7200909830687341,2.122161900346,0.42443238006920003,0.8799511813099932
185,256.0,Stansfield,4.0,50.0,9.0,0.0,0.0,0.0,0.0,0.7200909830687341,2.122161900346,0.0,0.0
186,258.0,Vinicius,4.0,50.0,9.0,0.0,0.0,0.0,0.0,0.7200909830687341,2.122161900346,0.0,0.0
187,259.0,Wilson,3.0,52.0,9.0,0.292,0.136,0.42800000000000005,1.034,0.7200909830687341,2.122161900346,0.908285293348088,0.7445740764930712
188,260.0,Al-Hamadi,4.0,47.0,10.0,0.0,0.0,0.0,0.162,0.5803817699756675,2.4014013125693334,0.0,0.09402184673605814
189,262.0,Broadhead,3.0,49.0,10.0,0.13199999999999998,0.148,0.28,0.844,0.5803817699756675,2.4014013125693334,0.6723923675194133,0.4898422138594633
190,264.0,Burns,3.0,48.0,10.0,0.028000000000000004,0.006,0.034,0.722,0.5803817699756675,2.4014013125693334,0.08164764462735734,0.4190356379224319
